Median Home Value,Median Household Income,Zip Code
249600,35097,90001
216100,31258,90002
231700,29686,90003
776300,37976,90004
633600,31893,90005
392100,30961,90006
388900,22420,90007
447500,38210,90008
514300,51359,90010
269300,30171,90011
394500,28879,90012
312200,20271,90013
345200,16551,90014
429100,27393,90015
358000,37242,90016
417600,21030,90017
345800,32447,90018
617300,42043,90019
511800,38510,90020
444000,13415,90021
294800,38925,90022
287500,33849,90023
963400,54373,90024
669100,73478,90025
551500,44327,90026
793200,47993,90027
593900,30953,90028
511100,36979,90029
340500,34655,90031
325100,46508,90032
291100,28005,90033
637100,56946,90034
842500,75863,90035
945000,71589,90036
271400,26796,90037
525800,35144,90038
600000,64080,90039
326100,47758,90040
535500,63770,90041
382100,50996,90042
364300,40658,90043
269400,29870,90044
661700,77893,90045
873100,52641,90046
286800,41842,90047
941100,72701,90048
1000001,110854,90049
712400,86858,90056
282600,28035,90057
191100,16750,90058
221500,33962,90059
256400,33476,90061
278700,33192,90062
273400,38441,90063
904200,84579,90064
453400,53635,90065
727800,66744,90066
928600,90972,90067
952100,67500,90068
,,90071
1000001,168036,90077
,,90079
,,90099
,,90101
